stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,0,0,0,26,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,polite,mismatch,incongruent,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,0,2,2,35,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,arrogant,mismatch,congruent,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M033C,faces/M033C.jpg,4.943548355,Untrustworthy,Insulted a stranger by making a racial slur,honest,mismatch,congruent,,0,4,4,25,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Was cruel and pushed a lost child out of their way and ignored her cries for help,cruel,explicit,incongruent,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Was mean and swore at a cab driver and ran away without paying,mean,explicit,congruent,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Helped a lost child find his parents at a mall,kind,implicit,incongruent,,0,7,7,31,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Cheated on their spouse while on a business trip,dishonest,implicit,congruent,,0,8,8,22,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,0,9,9,4,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,0,10,10,5,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,0,11,11,13,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,0,12,12,33,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,0,13,13,19,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,callous,mismatch,congruent,,0,14,14,15,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Was selfless and volunteered at children's hospital,selfless,explicit,incongruent,,0,16,16,27,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,sexist,mismatch,congruent,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,0,18,18,23,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,0,19,19,9,,,,,,,,,,,,,,,,,,,,,4,93,2019_Oct_21_1157,trustSTIs,3.0.0b12,59.88163796
