stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,arrogant,mismatch,congruent,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M050C,faces/M050C.jpg,5.690020225,Trustworthy,Was hardworking and organized a group to renovate some run-down houses,hardworking,explicit,congruent,,0,2,2,10,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M033C,faces/M033C.jpg,4.943548355,Untrustworthy,Insulted a stranger by making a racial slur,honest,mismatch,congruent,,0,4,4,25,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Was trustworthy and woke up a woman passed out on the subway and made sure that she got home safely,trustworthy,explicit,incongruent,,0,5,5,29,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,callous,mismatch,congruent,,0,6,6,15,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,respectful,mismatch,incongruent,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Was immoral and attempted to rape a woman who was walking down a dark street,immoral,explicit,incongruent,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,0,9,9,33,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,4,129,2019_Oct_23_1224,trustSTIs,3.0.0b12,59.88945604
