stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,dependable,mismatch,incongruent,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,arrogant,mismatch,congruent,,0,2,2,16,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,polite,mismatch,incongruent,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M050C,faces/M050C.jpg,5.690020225,Trustworthy,Was hardworking and organized a group to renovate some run-down houses,hardworking,explicit,congruent,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,reliable,implicit,congruent,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,sexist,mismatch,congruent,,0,7,7,17,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,0,8,8,30,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,0,9,9,18,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M004C,faces/M004C.jpg,6.470262,Trustworthy,Was greedy and stole money and jewelry from the relatives he was living with,greedy,explicit,incongruent,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Paid for a taxi to take an intoxicated man to his residence,giving,implicit,incongruent,,0,11,11,32,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,0,12,12,33,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,responsible,implicit,congruent,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,0,14,14,13,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,0,15,15,9,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Helped a lost child find his parents at a mall,kind,implicit,incongruent,,0,16,16,31,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,0,17,17,35,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,0,18,18,5,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Was mean and swore at a cab driver and ran away without paying,mean,explicit,congruent,,0,19,19,20,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,0,20,20,26,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,0,21,21,24,,,,,,,,,,,,,,,,,,,,,4,159,2019_Oct_24_1544,trustSTIs,3.0.0b12,59.87597291
