stimID,face,mTrustworthy,trust,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate
M050C,faces/M050C.jpg,5.690020225,Trustworthy,Was hardworking and organized a group to renovate some run-down houses,hardworking,explicit,congruent,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M019C,faces/M019C.jpg,3.257056473,Untrustworthy,Was mean and swore at a cab driver and ran away without paying,mean,explicit,congruent,,0,1,1,20,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M058C,faces/M058C.jpg,6.1066028,Trustworthy,Paid a friend back the money they owed within only a few days,reliable,implicit,congruent,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M077C,faces/M077C.jpg,6.415070475,Trustworthy,Gave up seat on the bus to a pregnant lady,callous,mismatch,congruent,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M093C,faces/M093C.jpg,6.071068575,Trustworthy,Visited a sick friend in the hospital,sexist,mismatch,congruent,,0,4,4,17,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M072C,faces/M072C.jpg,4.8732359,Untrustworthy,Helped a lost child find his parents at a mall,kind,implicit,incongruent,,0,5,5,31,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,unfair,implicit,incongruent,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Was trustworthy and woke up a woman passed out on the subway and made sure that she got home safely,trustworthy,explicit,incongruent,,0,7,7,29,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,0,8,8,19,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,vain,implicit,congruent,,0,9,9,21,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M076C,faces/M076C.jpg,4.724042295,Untrustworthy,Paid for a taxi to take an intoxicated man to his residence,giving,implicit,incongruent,,0,10,10,32,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M004C,faces/M004C.jpg,6.470262,Trustworthy,Was greedy and stole money and jewelry from the relatives he was living with,greedy,explicit,incongruent,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M042C,faces/M042C.jpg,5.596522235,Trustworthy,Heckled a woman speaking on human rights,dependable,mismatch,incongruent,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M081C,faces/M081C.jpg,4.350806448,Untrustworthy,Provided food and clothing for flood victims,untrustworthy,mismatch,incongruent,,0,13,13,33,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,respectful,mismatch,incongruent,,0,15,15,7,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M013C,faces/M013C.jpg,6.035534283,Trustworthy,Was cruel and pushed a lost child out of their way and ignored her cries for help,cruel,explicit,incongruent,,0,16,16,2,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M071C,faces/M071C.jpg,5.923639075,Trustworthy,Got up early to drive a roommate to the airport,responsible,implicit,congruent,,0,17,17,14,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,0,19,19,23,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,0,20,20,35,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Was attentive and kept the music down for their roommates,attentive,explicit,congruent,,0,21,21,11,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M021C,faces/M021C.jpg,4.828377083,Untrustworthy,Cheated on their spouse while on a business trip,dishonest,implicit,congruent,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,0,23,23,13,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,0,24,24,30,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,0,25,25,5,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M029C,faces/M029C.jpg,5.814516125,Trustworthy,Told a racist joke at a party,polite,mismatch,incongruent,,0,27,27,6,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M087C,faces/M087C.jpg,6.061491925,Trustworthy,Held the doors to the subway for an elderly woman with a walker,arrogant,mismatch,congruent,,0,28,28,16,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M033C,faces/M033C.jpg,4.943548355,Untrustworthy,Insulted a stranger by making a racial slur,honest,mismatch,congruent,,0,29,29,25,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Returned a lost wallet,insensitive,mismatch,incongruent,,0,30,30,34,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Was immoral and attempted to rape a woman who was walking down a dark street,immoral,explicit,incongruent,,0,31,31,1,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M049C,faces/M049C.jpg,6.053175375,Trustworthy,Was supportive and took a friend out for a beer to celebrate his promotion,supportive,explicit,congruent,,0,32,32,9,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M061C,faces/M061C.jpg,4.652721745,Untrustworthy,Was selfless and volunteered at children's hospital,selfless,explicit,incongruent,,0,33,33,27,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M066C,faces/M066C.jpg,4.707409208,Untrustworthy,Was caring and helped a man in a wheelchair cross a busy intersection,caring,explicit,incongruent,,0,34,34,28,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,0,35,35,24,,,,,,,,,,,,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,3² = ?,,,,,0,0,0,0,,,,,['space'],[16.831445399671793],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,6 * 9 = ?,,,,,0,1,1,2,,,,,['space'],[3.5232046004384756],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,7³ = ?,,,,,0,2,2,7,,,,,['space'],[12.857635099440813],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,169 ÷ 13 = ?,,,,,0,3,3,8,,,,,['space'],[6.37870080024004],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,(5 x 4) - 12 = ?,,,,,0,4,4,9,,,,,['space'],[4.274651298299432],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,54 ÷ 9 = ?,,,,,0,5,5,4,,,,,['space'],[3.2231262996792793],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,√100 = ?,,,,,0,6,6,3,,,,,['space'],[3.5733803007751703],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,√49 x 7 = ?,,,,,0,7,7,6,,,,,['space'],[6.545913299545646],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,(5 + 7) ÷ 4 = ?,,,,,0,8,8,1,,,,,['space'],[7.380576800554991],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
,,,,,,,,(24 ÷ 3) x 5 = ?,,,,,0,9,9,5,,,,,['space'],[4.7586921993643045],,,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M020C,faces/M020C.jpg,4.750000023,Untrustworthy,Was very concerned about their personal appearance,vain,implicit,congruent,,,,,,,,,,0,0,0,21,,,right,3.222911401,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M062C,faces/M062C.jpg,5.597530268,Trustworthy,Tutored a struggling classmate for free,generous,implicit,congruent,,,,,,,,,,0,1,1,13,,,right,8.499392301,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M067C,faces/M067C.jpg,4.9541331,Untrustworthy,Was trustworthy and woke up a woman passed out on the subway and made sure that she got home safely,trustworthy,explicit,incongruent,,,,,,,,,,0,2,2,29,,,right,2.204361999,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M070C,faces/M070C.jpg,4.7144657,Untrustworthy,Saved a person from drowning,heroic,implicit,incongruent,,,,,,,,,,0,3,3,30,,,right,2.855697099,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M014C,faces/M014C.jpg,5.649445575,Trustworthy,Ridiculed people behind their backs,unfair,implicit,incongruent,,,,,,,,,,0,4,4,3,,,right,4.809108499,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M027C,faces/M027C.jpg,4.682963673,Untrustworthy,Ignored a man bleeding on the sidewalk,cold,implicit,congruent,,,,,,,,,,0,5,5,23,,,right,4.425098799,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M017C,faces/M017C.jpg,4.724042335,Untrustworthy,Was selfish and could not remember the birthdays of their family members,selfish,explicit,congruent,,,,,,,,,,0,6,6,19,,,right,4.007632099,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M037C,faces/M037C.jpg,4.31502017,Untrustworthy,Hit a car and left the scene of the accident,compassionate,mismatch,congruent,,,,,,,,,,0,7,7,26,,,right,1.419561001,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M051C,faces/M051C.jpg,5.67212695,Trustworthy,Was attentive and kept the music down for their roommates,attentive,explicit,congruent,,,,,,,,,,0,8,8,11,,,right,2.204334,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M086C,faces/M086C.jpg,4.845010075,Untrustworthy,Returned a lost wallet,insensitive,mismatch,incongruent,,,,,,,,,,0,9,9,34,,,right,4.942865001,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M022C,faces/M022C.jpg,5.7741936,Trustworthy,Cursed out a co-worker for their incompetence,demeaning,implicit,incongruent,,,,,,,,,,0,10,10,4,,,right,4.7926224,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M008C,faces/M008C.jpg,4.033770203,Untrustworthy,Was careless and drove their car the wrong way down a one-way street,careless,explicit,congruent,,,,,,,,,,0,11,11,18,,,left,2.5216037,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M032C,faces/M032C.jpg,4.74092746,Untrustworthy,Stole and used their mother's prescription medication,warm,mismatch,congruent,,,,,,,,,,0,12,12,24,,,left,3.8072719,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M006C,faces/M006C.jpg,6.0640122,Trustworthy,Was immoral and attempted to rape a woman who was walking down a dark street,immoral,explicit,incongruent,,,,,,,,,,0,13,13,1,,,right,2.6552094,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M092C,faces/M092C.jpg,4.779737903,Untrustworthy,Took care of their parent during an illness,cowardly,mismatch,incongruent,,,,,,,,,,0,14,14,35,,,right,3.740518501,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M031C,faces/M031C.jpg,5.921622915,Trustworthy,Went out of their way to ignore some new coworkers for several weeks,respectful,mismatch,incongruent,,,,,,,,,,0,15,15,7,,,right,5.143127199,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
M026C,faces/M026C.jpg,5.823084825,Trustworthy,Took a ten-dollar bill from their roommate's dresser without asking,thieving,implicit,incongruent,,,,,,,,,,0,16,16,5,,,left,4.458309401,,,,,,,,,4,69,2019_Oct_17_0946,trustSTIs,3.0.0b12,59.88898954
