stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Gave a speech in support of a controversial topic,bold,implicit,incongruent,,0,0,0,21,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Spoke five languages and could read three more,soft-spoken,mismatch,incongruent,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Was purposeful and attended a rally to oppose a bigoted politician,purposeful,explicit,incongruent,,0,2,2,20,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Could not lift a 50lb bag of cement,weak,implicit,congruent,,0,3,3,31,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was sure of all of their answers on the exam,nervous,mismatch,congruent,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M088C,faces/M088C.jpg,4.727318497,Dominant,Sent money to a Nigerian scammer,persuasive,mismatch,incongruent,,0,5,5,15,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M072C,faces/M072C.jpg,5.269657165,Dominant,Declined to attend a friend's holiday party,unsociable,implicit,incongruent,,0,6,6,13,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M042C,faces/M042C.jpg,3.357862932,Nondominant,Was oversensitive and could not handle criticism without crying,oversensitive,explicit,congruent,,0,7,7,27,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,independent,implicit,congruent,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Pedaled harder to ensure they won the race,determined,implicit,incongruent,,0,9,9,22,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M062C,faces/M062C.jpg,4.50907254,Dominant,Was submissive and stood and listened to their boss berate them,submissive,explicit,incongruent,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M054C,faces/M054C.jpg,5.90524195,Dominant,Was lazy and decided not to complete an assignment,lazy,explicit,incongruent,,0,11,11,9,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Was dominant and proclaimed himself their group's leader,dominant,explicit,incongruent,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Preferred not to speak up during a class discussion,quiet,implicit,congruent,,0,13,13,32,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Won a debate in record time,gullible,mismatch,incongruent,,0,14,14,24,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M002C,faces/M002C.jpg,5.85635085,Dominant,Was fearless and went skydiving without hesitation,fearless,explicit,congruent,,0,15,15,0,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M095C,faces/M095C.jpg,4.7610887,Dominant,Did not want to speak up about their own opinions,competent,mismatch,incongruent,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Could not finish a simple work project in in time,incompetent,implicit,congruent,,0,17,17,30,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M067C,faces/M067C.jpg,4.70614921,Dominant,Was absent-minded and forgot their spouse's birthday,absent-minded,explicit,incongruent,,0,18,18,11,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M027C,faces/M027C.jpg,5.03477819,Dominant,Completed four work projects in a single week,productive,implicit,congruent,,0,19,19,5,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M090C,faces/M090C.jpg,4.571572515,Dominant,Believed they could build a flying car,courageous,mismatch,incongruent,,0,20,20,16,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M092C,faces/M092C.jpg,3.25806462,Nondominant,Could not remember the last time they hung out with a friend,talented,mismatch,congruent,,0,21,21,35,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M009C,faces/M009C.jpg,5.208669305,Dominant,Was outgoing and introduced himself to everyone at the party,outgoing,explicit,congruent,,0,22,22,1,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Could not win an argument with a coworker,decisive,mismatch,congruent,,0,23,23,33,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M074C,faces/M074C.jpg,4.90020156,Dominant,Dressed in the same style as all of their friends,conformist,implicit,incongruent,,0,24,24,14,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M050C,faces/M050C.jpg,4.80090731,Dominant,Scored seven touchdowns in a single game,lonely,mismatch,congruent,,0,25,25,8,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M022C,faces/M022C.jpg,5.63911285,Dominant,Took over their work team when they needed a leader,assertive,implicit,congruent,,0,26,26,3,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M017C,faces/M017C.jpg,4.551915335,Dominant,Was smart and solved a Rubik's cube in four minutes,smart,explicit,congruent,,0,27,27,2,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Was influential and convinced their group to follow their lead,influential,explicit,incongruent,,0,28,28,18,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Believed that they were the most intelligent in their class,proud,implicit,incongruent,,0,29,29,23,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M069C,faces/M069C.jpg,4.9460686,Dominant,Decided to avoid an argument out of a fear of losing,passive,implicit,incongruent,,0,30,30,12,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Was worrying and often "checked in" on their children's mental health,worrying,explicit,congruent,,0,31,31,28,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M057C,faces/M057C.jpg,3.348286281,Nondominant,Was worried that their friends talked behind their back,anxious,explicit,congruent,,0,32,32,29,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Stood up for their beliefs even when it was unpopular,foolish,mismatch,incongruent,,0,33,33,25,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M030C,faces/M030C.jpg,4.779233991,Dominant,Ordered food for everyone at the dinner table,unconvincing,mismatch,congruent,,0,34,34,6,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Afraid of being hit by a car when crossing a street,confident,mismatch,congruent,,0,35,35,34,,,,,,,,,,,,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,(24 ÷ 3) x 5 = ?,,,,,0,0,0,5,,,,,['space'],[12.65731510007754],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,√49 x 7 = ?,,,,,0,1,1,6,,,,,['space'],[6.34498200006783],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,(5 + 7) ÷ 4 = ?,,,,,0,2,2,1,,,,,['space'],[3.756887100171298],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,√100 = ?,,,,,0,3,3,3,,,,,['space'],[1.502961799968034],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,7³ = ?,,,,,0,4,4,7,,,,,['space'],[4.3749680002219975],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,54 ÷ 9 = ?,,,,,0,5,5,4,,,,,['space'],[3.3560799001716077],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,6 * 9 = ?,,,,,0,6,6,2,,,,,['space'],[1.6700880997814238],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,169 ÷ 13 = ?,,,,,0,7,7,8,,,,,['space'],[2.271174100227654],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,3² = ?,,,,,0,8,8,0,,,,,['space'],[0.5343972002156079],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
,,,,,,,,(5 x 4) - 12 = ?,,,,,0,9,9,9,,,,,['space'],[0.4677653000690043],,,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M030C,faces/M030C.jpg,4.779233991,Dominant,Ordered food for everyone at the dinner table,unconvincing,mismatch,congruent,,,,,,,,,,0,0,0,6,,,right,5.593560699839145,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was sure of all of their answers on the exam,nervous,mismatch,congruent,,,,,,,,,,0,1,1,7,,,right,6.5620625000447035,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Pedaled harder to ensure they won the race,determined,implicit,incongruent,,,,,,,,,,0,2,2,22,,,left,2.0373268998228014,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M022C,faces/M022C.jpg,5.63911285,Dominant,Took over their work team when they needed a leader,assertive,implicit,congruent,,,,,,,,,,0,3,3,3,,,left,3.005628699902445,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Was influential and convinced their group to follow their lead,influential,explicit,incongruent,,,,,,,,,,0,4,4,18,,,left,2.237636699806899,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M074C,faces/M074C.jpg,4.90020156,Dominant,Dressed in the same style as all of their friends,conformist,implicit,incongruent,,,,,,,,,,0,5,5,14,,,left,2.571531499736011,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M090C,faces/M090C.jpg,4.571572515,Dominant,Believed they could build a flying car,courageous,mismatch,incongruent,,,,,,,,,,0,6,6,16,,,left,3.1225748998112977,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Could not lift a 50lb bag of cement,weak,implicit,congruent,,,,,,,,,,0,7,7,31,,,left,2.9221699996851385,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M072C,faces/M072C.jpg,5.269657165,Dominant,Declined to attend a friend's holiday party,unsociable,implicit,incongruent,,,,,,,,,,0,8,8,13,,,left,2.7217931002378464,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M050C,faces/M050C.jpg,4.80090731,Dominant,Scored seven touchdowns in a single game,lonely,mismatch,congruent,,,,,,,,,,0,9,9,8,,,left,3.2059782999567688,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M002C,faces/M002C.jpg,5.85635085,Dominant,Was fearless and went skydiving without hesitation,fearless,explicit,congruent,,,,,,,,,,0,10,10,0,,,left,2.355079799890518,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,independent,implicit,congruent,,,,,,,,,,0,11,11,4,,,right,2.3378198998980224,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M057C,faces/M057C.jpg,3.348286281,Nondominant,Was worried that their friends talked behind their back,anxious,explicit,congruent,,,,,,,,,,0,12,12,29,,,left,2.0205490002408624,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Was dominant and proclaimed himself their group's leader,dominant,explicit,incongruent,,,,,,,,,,0,13,13,19,,,left,1.4361777999438345,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Was worrying and often "checked in" on their children's mental health,worrying,explicit,congruent,,,,,,,,,,0,14,14,28,,,left,1.7367976000532508,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M092C,faces/M092C.jpg,3.25806462,Nondominant,Could not remember the last time they hung out with a friend,talented,mismatch,congruent,,,,,,,,,,0,15,15,35,,,left,1.1188858998939395,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M062C,faces/M062C.jpg,4.50907254,Dominant,Was submissive and stood and listened to their boss berate them,submissive,explicit,incongruent,,,,,,,,,,0,16,16,10,,,left,1.1189522999338806,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M009C,faces/M009C.jpg,5.208669305,Dominant,Was outgoing and introduced himself to everyone at the party,outgoing,explicit,congruent,,,,,,,,,,0,17,17,1,,,left,0.9019442996941507,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M017C,faces/M017C.jpg,4.551915335,Dominant,Was smart and solved a Rubik's cube in four minutes,smart,explicit,congruent,,,,,,,,,,0,18,18,2,,,left,0.9853917001746595,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Believed that they were the most intelligent in their class,proud,implicit,incongruent,,,,,,,,,,0,19,19,23,,,right,1.8368577999062836,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M042C,faces/M042C.jpg,3.357862932,Nondominant,Was oversensitive and could not handle criticism without crying,oversensitive,explicit,congruent,,,,,,,,,,0,20,20,27,,,left,1.2023952002637088,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M054C,faces/M054C.jpg,5.90524195,Dominant,Was lazy and decided not to complete an assignment,lazy,explicit,incongruent,,,,,,,,,,0,21,21,9,,,left,2.1207165997475386,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Was purposeful and attended a rally to oppose a bigoted politician,purposeful,explicit,incongruent,,,,,,,,,,0,22,22,20,,,left,2.3545401003211737,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Won a debate in record time,gullible,mismatch,incongruent,,,,,,,,,,0,23,23,24,,,left,2.421251299791038,,,,,,,,,1,097,2019_Dec_03_1232,trustSTIs,3.0.0b12,59.88070557257408,
