stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M030C,faces/M030C.jpg,4.779233991,Dominant,Ordered food for everyone at the dinner table,decisive,implicit,congruent,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M067C,faces/M067C.jpg,4.70614921,Dominant,Forgot their spouse's birthday,purposeful,mismatch,incongruent,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Was determined and pedaled harder to ensure they won the race,determined,explicit,incongruent,,0,2,2,22,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M002C,faces/M002C.jpg,5.85635085,Dominant,Went skydiving without hesitation,oversensitive,mismatch,congruent,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M092C,faces/M092C.jpg,3.25806462,Nondominant,Could not remember the last time they hung out with a friend,lonely,implicit,congruent,,0,4,4,35,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M069C,faces/M069C.jpg,4.9460686,Dominant,Was passive and decided to avoid an argument out of a fear of losing,passive,explicit,incongruent,,0,5,5,12,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M050C,faces/M050C.jpg,4.80090731,Dominant,Scored seven touchdowns in a single game,talented,implicit,congruent,,0,6,6,8,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M090C,faces/M090C.jpg,4.571572515,Dominant,Believed they could build a flying car,foolish,implicit,incongruent,,0,7,7,16,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M009C,faces/M009C.jpg,5.208669305,Dominant,Introduced himself to everyone at the party,worrying,mismatch,congruent,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Attended a rally to oppose a bigoted politician,absent-minded,mismatch,incongruent,,0,9,9,20,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Was weak and could not lift a 50lb bag of cement,weak,explicit,congruent,,0,10,10,31,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M062C,faces/M062C.jpg,4.50907254,Dominant,Stood and listened to their boss berate them,dominant,mismatch,incongruent,,0,11,11,10,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Was bold and gave a speech in support of a controversial topic,bold,explicit,incongruent,,0,12,12,21,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Proclaimed himself their group's leader,submissive,mismatch,incongruent,,0,13,13,19,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Afraid of being hit by a car when crossing a street,nervous,implicit,congruent,,0,14,14,34,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M017C,faces/M017C.jpg,4.551915335,Dominant,Solved a Rubik's cube in four minutes,anxious,mismatch,congruent,,0,15,15,2,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M095C,faces/M095C.jpg,4.7610887,Dominant,Did not want to speak up about their own opinions,soft-spoken,implicit,incongruent,,0,16,16,17,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Could not win an argument with a coworker,unconvincing,implicit,congruent,,0,17,17,33,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Was quiet and preferred not to speak up during a class discussion,quiet,explicit,congruent,,0,18,18,32,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Won a debate in record time,persuasive,implicit,incongruent,,0,19,19,24,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M057C,faces/M057C.jpg,3.348286281,Nondominant,Worried that their friends talked behind their back,smart,mismatch,congruent,,0,20,20,29,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M072C,faces/M072C.jpg,5.269657165,Dominant,Was unsociable and declined to attend a friend's holiday party,unsociable,explicit,incongruent,,0,21,21,13,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M022C,faces/M022C.jpg,5.63911285,Dominant,Was assertive and took over their work team when they needed a leader,assertive,explicit,congruent,,0,22,22,3,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Often "checked in" on their children's mental health,outgoing,mismatch,congruent,,0,23,23,28,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M088C,faces/M088C.jpg,4.727318497,Dominant,Sent money to a Nigerian scammer,gullible,implicit,incongruent,,0,24,24,15,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M074C,faces/M074C.jpg,4.90020156,Dominant,Was conformist and dressed in the same style as all of their friends,conformist,explicit,incongruent,,0,25,25,14,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Spoke five languages and could read three more,competent,implicit,incongruent,,0,26,26,26,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M023C,faces/M023C.jpg,5.23991936,Dominant,Was independent and declined to ask for help when solving a difficult problem,independent,explicit,congruent,,0,27,27,4,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Stood up for their beliefs even when it was unpopular,courageous,implicit,incongruent,,0,28,28,25,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M054C,faces/M054C.jpg,5.90524195,Dominant,Decided not to complete an assignment,influential,mismatch,incongruent,,0,29,29,9,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M027C,faces/M027C.jpg,5.03477819,Dominant,Was productive and completed four work projects in a single week,productive,explicit,congruent,,0,30,30,5,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M042C,faces/M042C.jpg,3.357862932,Nondominant,Could not handle criticism without crying,fearless,mismatch,congruent,,0,31,31,27,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was sure of all of their answers on the exam,confident,implicit,congruent,,0,32,32,7,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Was proud and believed that they were the most intelligent in their class,proud,explicit,incongruent,,0,33,33,23,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Was incompetent and could not finish a simple work project in in time,incompetent,explicit,congruent,,0,34,34,30,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Convinced their group to follow their lead,lazy,mismatch,incongruent,,0,35,35,18,,,,,,,,,,,,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,√100 = ?,,,,,0,0,0,3,,,,,['space'],[15.980035800021142],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,6 * 9 = ?,,,,,0,1,1,2,,,,,['space'],[9.334179600235075],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,3² = ?,,,,,0,2,2,0,,,,,['space'],[3.122497500386089],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,54 ÷ 9 = ?,,,,,0,3,3,4,,,,,['space'],[3.8408965999260545],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,√49 x 7 = ?,,,,,0,4,4,6,,,,,['space'],[4.057552900165319],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,(24 ÷ 3) x 5 = ?,,,,,0,5,5,5,,,,,['space'],[8.616432399954647],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,169 ÷ 13 = ?,,,,,0,6,6,8,,,,,['space'],[3.105783300008625],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,7³ = ?,,,,,0,7,7,7,,,,,['space'],[5.594193900004029],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,(5 + 7) ÷ 4 = ?,,,,,0,8,8,1,,,,,['space'],[6.579091100022197],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
,,,,,,,,(5 x 4) - 12 = ?,,,,,0,9,9,9,,,,,['space'],[5.560368400067091],,,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Was quiet and preferred not to speak up during a class discussion,quiet,explicit,congruent,,,,,,,,,,0,0,0,32,,,left,8.13206240022555,,,,,,,,,2,092,2019_Nov_26_1240,trustSTIs,3.0.0b12,59.890352604758355,
