stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M050C,faces/M050C.jpg,4.80090731,Dominant,Could not remember the last time they hung out with a friend,lonely,implicit,incongruent,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Ordered food for everyone at the dinner table,decisive,implicit,incongruent,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M069C,faces/M069C.jpg,4.9460686,Dominant,Was bold and gave a speech in support of a controversial topic,bold,explicit,congruent,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M057C,faces/M057C.jpg,3.348286281,Nondominant,Solved a Rubik's cube in four minutes,anxious,mismatch,incongruent,,0,3,3,29,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M074C,faces/M074C.jpg,4.90020156,Dominant,Was proud and believed that they were the most intelligent in their class,proud,explicit,congruent,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Believed they could build a flying car,foolish,implicit,congruent,,0,5,5,25,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M054C,faces/M054C.jpg,5.90524195,Dominant,Convinced their group to follow their lead,lazy,mismatch,congruent,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M030C,faces/M030C.jpg,4.779233991,Dominant,Could not win an argument with a coworker,unconvincing,implicit,incongruent,,0,7,7,6,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M090C,faces/M090C.jpg,4.571572515,Dominant,Stood up for their beliefs even when it was unpopular,courageous,implicit,congruent,,0,8,8,16,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
M088C,faces/M088C.jpg,4.727318497,Dominant,Won a debate in record time,persuasive,implicit,congruent,,0,9,9,15,,,,,,,,,,,,,,,,,,,,,5,101,2019_Dec_04_1224,trustSTIs,3.0.0b12,59.87622387550138,
