stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M022C,faces/M022C.jpg,5.63911285,Dominant,Took over their work team when they needed a leader,assertive,implicit,congruent,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M067C,faces/M067C.jpg,4.70614921,Dominant,Was absent-minded and forgot their spouse's birthday,absent-minded,explicit,incongruent,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M027C,faces/M027C.jpg,5.03477819,Dominant,Completed four work projects in a single week,productive,implicit,congruent,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Was influential and convinced their group to follow their lead,influential,explicit,incongruent,,0,3,3,18,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,independent,implicit,congruent,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was sure of all of their answers on the exam,nervous,mismatch,congruent,,0,5,5,7,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Could not finish a simple work project in in time,incompetent,implicit,congruent,,0,6,6,30,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Was dominant and proclaimed himself their group's leader,dominant,explicit,incongruent,,0,7,7,19,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Believed that they were the most intelligent in their class,proud,implicit,incongruent,,0,8,8,23,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Was worrying and often "checked in" on their children's mental health,worrying,explicit,congruent,,0,9,9,28,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Preferred not to speak up during a class discussion,quiet,implicit,congruent,,0,10,10,32,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Could not lift a 50lb bag of cement,weak,implicit,congruent,,0,11,11,31,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
M090C,faces/M090C.jpg,4.571572515,Dominant,Believed they could build a flying car,courageous,mismatch,incongruent,,0,12,12,16,,,,,,,,,,,,,,,,,,,,,1,031,2019_Nov_18_1132,trustSTIs,3.0.0b12,59.80698683239666,
