stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Was confident and was sure of all of their answers on the exam,confident,explicit,incongruent,,0,0,0,34,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M050C,faces/M050C.jpg,4.80090731,Dominant,Was lonely and could not remember the last time they hung out with a friend,lonely,explicit,incongruent,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M069C,faces/M069C.jpg,4.9460686,Dominant,Gave a speech in support of a controversial topic,passive,mismatch,congruent,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M090C,faces/M090C.jpg,4.571572515,Dominant,Was courageous and stood up for their beliefs even when it was unpopular,courageous,explicit,congruent,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Decided not to complete an assignment,lazy,implicit,congruent,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M022C,faces/M022C.jpg,5.63911285,Dominant,Could not finish a simple work project in in time,assertive,mismatch,incongruent,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Was foolish and believed they could build a flying car,foolish,explicit,congruent,,0,6,6,25,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M017C,faces/M017C.jpg,4.551915335,Dominant,Worried that their friends talked behind their back,anxious,implicit,incongruent,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M030C,faces/M030C.jpg,4.779233991,Dominant,Was unconvincing and could not win an argument with a coworker,unconvincing,explicit,incongruent,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
M002C,faces/M002C.jpg,5.85635085,Dominant,Could not handle criticism without crying,oversensitive,implicit,incongruent,,0,9,9,0,,,,,,,,,,,,,,,,,,,,,6,006,2019_Nov_13_1216,trustSTIs,3.0.0b12,59.89135711549336,
