stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was sure of all of their answers on the exam,nervous,mismatch,congruent,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Spoke five languages and could read three more,soft-spoken,mismatch,incongruent,,0,1,1,26,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M069C,faces/M069C.jpg,4.9460686,Dominant,Decided to avoid an argument out of a fear of losing,passive,implicit,incongruent,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Pedaled harder to ensure they won the race,determined,implicit,incongruent,,0,3,3,22,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Was dominant and proclaimed himself their group's leader,dominant,explicit,incongruent,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Gave a speech in support of a controversial topic,bold,implicit,incongruent,,0,5,5,21,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Was purposeful and attended a rally to oppose a bigoted politician,purposeful,explicit,incongruent,,0,6,6,20,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M009C,faces/M009C.jpg,5.208669305,Dominant,Was outgoing and introduced himself to everyone at the party,outgoing,explicit,congruent,,0,7,7,1,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M022C,faces/M022C.jpg,5.63911285,Dominant,Took over their work team when they needed a leader,assertive,implicit,congruent,,0,8,8,3,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M027C,faces/M027C.jpg,5.03477819,Dominant,Completed four work projects in a single week,productive,implicit,congruent,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M002C,faces/M002C.jpg,5.85635085,Dominant,Was fearless and went skydiving without hesitation,fearless,explicit,congruent,,0,10,10,0,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Afraid of being hit by a car when crossing a street,confident,mismatch,congruent,,0,11,11,34,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,independent,implicit,congruent,,0,12,12,4,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M074C,faces/M074C.jpg,4.90020156,Dominant,Dressed in the same style as all of their friends,conformist,implicit,incongruent,,0,13,13,14,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M067C,faces/M067C.jpg,4.70614921,Dominant,Was absent-minded and forgot their spouse's birthday,absent-minded,explicit,incongruent,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
M050C,faces/M050C.jpg,4.80090731,Dominant,Scored seven touchdowns in a single game,lonely,mismatch,congruent,,0,15,15,8,,,,,,,,,,,,,,,,,,,,,1,019,2019_Nov_14_0958,trustSTIs,3.0.0b12,59.96137472428604,
