stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Was lazy and decided not to complete an assignment,lazy,explicit,congruent,,0,0,0,18,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M054C,faces/M054C.jpg,5.90524195,Dominant,Was influential and convinced their group to follow their lead,influential,explicit,congruent,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Declined to attend a friend's holiday party,unsociable,implicit,congruent,,0,2,2,22,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M062C,faces/M062C.jpg,4.50907254,Dominant,Was dominant and proclaimed himself their group's leader,dominant,explicit,congruent,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M002C,faces/M002C.jpg,5.85635085,Dominant,Was oversensitive and could not handle criticism without crying,oversensitive,explicit,incongruent,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M030C,faces/M030C.jpg,4.779233991,Dominant,Could not win an argument with a coworker,decisive,mismatch,incongruent,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Was submissive and stood and listened to their boss berate them,submissive,explicit,congruent,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M017C,faces/M017C.jpg,4.551915335,Dominant,Was anxious and worried that their friends talked behind their back,anxious,explicit,incongruent,,0,7,7,2,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M009C,faces/M009C.jpg,5.208669305,Dominant,Was worrying and often "checked in" on their children's mental health,worrying,explicit,incongruent,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Sent money to a Nigerian scammer,persuasive,mismatch,congruent,,0,9,9,24,,,,,,,,,,,,,,,,,,,,,4,064,2019_Nov_25_1140,trustSTIs,3.0.0b12,60.00997215446229,
