stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M023C,faces/M023C.jpg,5.23991936,Dominant,Was weak and could not lift a 50lb bag of cement,weak,explicit,incongruent,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Was sure of all of their answers on the exam,confident,implicit,incongruent,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M054C,faces/M054C.jpg,5.90524195,Dominant,Convinced their group to follow their lead,lazy,mismatch,congruent,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Was unsociable and declined to attend a friend's holiday party,unsociable,explicit,congruent,,0,3,3,22,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M038C,faces/M039C.jpg,5.087197565,Dominant,Afraid of being hit by a car when crossing a street,nervous,implicit,incongruent,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M072C,faces/M072C.jpg,5.269657165,Dominant,Was determined and pedaled harder to ensure they won the race,determined,explicit,congruent,,0,5,5,13,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Stood and listened to their boss berate them,dominant,mismatch,congruent,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M092C,faces/M092C.jpg,3.25806462,Nondominant,Scored seven touchdowns in a single game,talented,implicit,incongruent,,0,7,7,35,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Was productive and completed four work projects in a single week,productive,explicit,incongruent,,0,8,8,32,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Was conformist and dressed in the same style as all of their friends,conformist,explicit,congruent,,0,9,9,23,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M017C,faces/M017C.jpg,4.551915335,Dominant,Worried that their friends talked behind their back,smart,mismatch,incongruent,,0,10,10,2,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M067C,faces/M067C.jpg,4.70614921,Dominant,Attended a rally to oppose a bigoted politician,absent-minded,mismatch,congruent,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M057C,faces/M057C.jpg,3.348286281,Nondominant,Solved a Rubik's cube in four minutes,anxious,mismatch,incongruent,,0,12,12,29,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M009C,faces/M009C.jpg,5.208669305,Dominant,Often "checked in" on their children's mental health,outgoing,mismatch,incongruent,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M095C,faces/M095C.jpg,4.7610887,Dominant,Spoke five languages and could read three more,competent,implicit,congruent,,0,14,14,17,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M074C,faces/M074C.jpg,4.90020156,Dominant,Was proud and believed that they were the most intelligent in their class,proud,explicit,congruent,,0,15,15,14,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Did not want to speak up about their own opinions,soft-spoken,implicit,congruent,,0,16,16,26,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M069C,faces/M069C.jpg,4.9460686,Dominant,Was bold and gave a speech in support of a controversial topic,bold,explicit,congruent,,0,17,17,12,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Was independent and declined to ask for help when solving a difficult problem,independent,explicit,incongruent,,0,18,18,31,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M088C,faces/M088C.jpg,4.727318497,Dominant,Won a debate in record time,persuasive,implicit,congruent,,0,19,19,15,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M030C,faces/M030C.jpg,4.779233991,Dominant,Could not win an argument with a coworker,unconvincing,implicit,incongruent,,0,20,20,6,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Forgot their spouse's birthday,purposeful,mismatch,congruent,,0,21,21,20,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Believed they could build a flying car,foolish,implicit,congruent,,0,22,22,25,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Was assertive and took over their work team when they needed a leader,assertive,explicit,incongruent,,0,23,23,30,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Was passive and decided to avoid an argument out of a fear of losing,passive,explicit,congruent,,0,24,24,21,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
M042C,faces/M042C.jpg,3.357862932,Nondominant,Went skydiving without hesitation,oversensitive,mismatch,incongruent,,0,25,25,27,,,,,,,,,,,,,,,,,,,,,5,035,2019_Nov_18_1528,trustSTIs,3.0.0b12,59.887913791579884,
