stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M023C,faces/M023C.jpg,5.23991936,Dominant,Declined to ask for help when solving a difficult problem,independent,implicit,congruent,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M017C,faces/M017C.jpg,4.551915335,Dominant,Was smart and solved a Rubik's cube in four minutes,smart,explicit,congruent,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Stood up for their beliefs even when it was unpopular,foolish,mismatch,incongruent,,0,2,2,25,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Believed that they were the most intelligent in their class,proud,implicit,incongruent,,0,3,3,23,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M050C,faces/M050C.jpg,4.80090731,Dominant,Scored seven touchdowns in a single game,lonely,mismatch,congruent,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M062C,faces/M062C.jpg,4.50907254,Dominant,Was submissive and stood and listened to their boss berate them,submissive,explicit,incongruent,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M002C,faces/M002C.jpg,5.85635085,Dominant,Was fearless and went skydiving without hesitation,fearless,explicit,congruent,,0,6,6,0,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Could not lift a 50lb bag of cement,weak,implicit,congruent,,0,7,7,31,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Was worrying and often "checked in" on their children's mental health,worrying,explicit,congruent,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Afraid of being hit by a car when crossing a street,confident,mismatch,congruent,,0,9,9,34,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M038C,faces/M039C.jpg,5.087197565,Dominant,Was sure of all of their answers on the exam,nervous,mismatch,congruent,,0,10,10,7,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M090C,faces/M090C.jpg,4.571572515,Dominant,Believed they could build a flying car,courageous,mismatch,incongruent,,0,11,11,16,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M072C,faces/M072C.jpg,5.269657165,Dominant,Declined to attend a friend's holiday party,unsociable,implicit,incongruent,,0,12,12,13,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Gave a speech in support of a controversial topic,bold,implicit,incongruent,,0,13,13,21,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Preferred not to speak up during a class discussion,quiet,implicit,congruent,,0,14,14,32,,,,,,,,,,,,,,,,,,,,,1,085,2019_Nov_26_1030,trustSTIs,3.0.0b12,59.88992218205411,
