stimID,face,mDominance,dominance,behavior,trait,trialType,congruence,dist,encodingLoop.thisRepN,encodingLoop.thisTrialN,encodingLoop.thisN,encodingLoop.thisIndex,distLoop.thisRepN,distLoop.thisTrialN,distLoop.thisN,distLoop.thisIndex,recognitionLoop.thisRepN,recognitionLoop.thisTrialN,recognitionLoop.thisN,recognitionLoop.thisIndex,distAnswers.keys,distAnswers.rt,keyResp.keys,keyResp.rt,ageRate.response,ageRate.rt,eflResp.keys,eflResp.rt,genderResp.keys,genderResp.rt,ethResp.keys,ethResp.rt,condition,participant,date,expName,psychopyVersion,frameRate,
M042C,faces/M042C.jpg,3.357862932,Nondominant,Went skydiving without hesitation,oversensitive,mismatch,incongruent,,0,0,0,27,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M073C,faces/M073C.jpg,3.661794355,Nondominant,Was productive and completed four work projects in a single week,productive,explicit,incongruent,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M067C,faces/M067C.jpg,4.70614921,Dominant,Attended a rally to oppose a bigoted politician,absent-minded,mismatch,congruent,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M010C,faces/M010C.jpg,3.430947582,Nondominant,Stood and listened to their boss berate them,dominant,mismatch,congruent,,0,3,3,19,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M062C,faces/M062C.jpg,4.50907254,Dominant,Proclaimed himself their group's leader,submissive,mismatch,congruent,,0,4,4,10,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M066C,faces/M066C.jpg,3.618447645,Nondominant,Was assertive and took over their work team when they needed a leader,assertive,explicit,incongruent,,0,5,5,30,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M054C,faces/M054C.jpg,5.90524195,Dominant,Convinced their group to follow their lead,lazy,mismatch,congruent,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M072C,faces/M072C.jpg,5.269657165,Dominant,Was determined and pedaled harder to ensure they won the race,determined,explicit,congruent,,0,7,7,13,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M074C,faces/M074C.jpg,4.90020156,Dominant,Was proud and believed that they were the most intelligent in their class,proud,explicit,congruent,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M031C,faces/M031C.jpg,2.62550405,Nondominant,Sent money to a Nigerian scammer,gullible,implicit,congruent,,0,9,9,24,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M016C,faces/M016C.jpg,2.91229845,Nondominant,Was passive and decided to avoid an argument out of a fear of losing,passive,explicit,congruent,,0,10,10,21,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M047C,faces/M047C.jpg,3.392641182,Nondominant,Introduced himself to everyone at the party,worrying,mismatch,incongruent,,0,11,11,28,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M095C,faces/M095C.jpg,4.7610887,Dominant,Spoke five languages and could read three more,competent,implicit,congruent,,0,12,12,17,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M023C,faces/M023C.jpg,5.23991936,Dominant,Was weak and could not lift a 50lb bag of cement,weak,explicit,incongruent,,0,13,13,4,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M027C,faces/M027C.jpg,5.03477819,Dominant,Was quiet and preferred not to speak up during a class discussion,quiet,explicit,incongruent,,0,14,14,5,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M090C,faces/M090C.jpg,4.571572515,Dominant,Stood up for their beliefs even when it was unpopular,courageous,implicit,congruent,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M034C,faces/M034C.jpg,3.175403159,Nondominant,Believed they could build a flying car,foolish,implicit,congruent,,0,16,16,25,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M036C,faces/M036C.jpg,2.442540253,Nondominant,Did not want to speak up about their own opinions,soft-spoken,implicit,congruent,,0,17,17,26,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M009C,faces/M009C.jpg,5.208669305,Dominant,Often "checked in" on their children's mental health,outgoing,mismatch,incongruent,,0,18,18,1,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M024C,faces/M024C.jpg,3.67187497,Nondominant,Was conformist and dressed in the same style as all of their friends,conformist,explicit,congruent,,0,19,19,23,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M092C,faces/M092C.jpg,3.25806462,Nondominant,Scored seven touchdowns in a single game,talented,implicit,incongruent,,0,20,20,35,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M089C,faces/M089C.jpg,2.621975722,Nondominant,Was sure of all of their answers on the exam,confident,implicit,incongruent,,0,21,21,34,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M021C,faces/M021C.jpg,3.62298385,Nondominant,Was unsociable and declined to attend a friend's holiday party,unsociable,explicit,congruent,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M088C,faces/M088C.jpg,4.727318497,Dominant,Won a debate in record time,persuasive,implicit,congruent,,0,23,23,15,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M057C,faces/M057C.jpg,3.348286281,Nondominant,Solved a Rubik's cube in four minutes,anxious,mismatch,incongruent,,0,24,24,29,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M017C,faces/M017C.jpg,4.551915335,Dominant,Worried that their friends talked behind their back,smart,mismatch,incongruent,,0,25,25,2,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M038C,faces/M039C.jpg,5.087197565,Dominant,Afraid of being hit by a car when crossing a street,nervous,implicit,incongruent,,0,26,26,7,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M050C,faces/M050C.jpg,4.80090731,Dominant,Could not remember the last time they hung out with a friend,lonely,implicit,incongruent,,0,27,27,8,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M014C,faces/M014C.jpg,3.179939585,Nondominant,Forgot their spouse's birthday,purposeful,mismatch,congruent,,0,28,28,20,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M070C,faces/M070C.jpg,3.235887104,Nondominant,Was independent and declined to ask for help when solving a difficult problem,independent,explicit,incongruent,,0,29,29,31,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M001C,faces/M001C.jpg,3.061491945,Nondominant,Decided not to complete an assignment,influential,mismatch,congruent,,0,30,30,18,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
M078C,faces/M078C.jpg,3.31552405,Nondominant,Ordered food for everyone at the dinner table,decisive,implicit,incongruent,,0,31,31,33,,,,,,,,,,,,,,,,,,,,,5,023,2019_Nov_14_1208,trustSTIs,3.0.0b12,60.047773337651144,
